draw,gpp,lai_mean,lai_max,ceff,lma,f_auto,c_fol_0,f_fol,f_lab,d_onset,cr_onset,cr_fall,c_lf
0,2899.3527649915613,8.140485087149726,9.173808248227521,34.18803436661513,237.85694577087656,0.5768287839028841,273.55333714201095,0.023526484492904277,0.1254121109353952,84.68065671631068,58.98339648299784,47.84347818481343,0.20908674036158753
1,2421.439586415698,4.583580458028937,5.243448208539013,36.99030991497618,163.30487930516716,0.4644717354484778,185.18042577181635,0.09273240583134411,0.04579404331499058,237.02012474444913,37.248684794860765,116.84091454298873,0.3236842226568397
2,2826.6861650489645,6.921324293793646,10.584146718759454,40.72739501275545,200.23992175701417,0.3797401320340238,868.7705648281863,0.056488318167359525,0.04715581817932995,206.85841053691786,65.9253813349978,51.371079460443255,0.2283276812550162
3,3184.576388935097,10.418862831578444,11.593668308023998,63.21748695979518,200.81736206764762,0.49760941557257843,1579.8493384876547,0.09885536349999019,0.10007652478687055,139.6746325495906,83.56917974363375,84.13038988312148,0.2537801669012101
4,2898.0620515891505,7.044165349758275,12.65410053448429,48.0101250882412,224.1000442060222,0.6727922247104469,1602.765489199663,0.05412729191627293,0.04025332515046749,200.06787846729492,15.904704086124243,60.074173065299135,0.22429596817406597
5,3114.4432950568635,9.026038357563781,13.65361038926701,58.70412574774466,220.41740493379598,0.49864931211796537,1477.2694364239417,0.134226845083506,0.02532621809037451,336.3060911145584,97.41645730720238,30.109509243262305,0.2608879532001603
6,3010.4101426110847,5.61573548604572,8.943588585791039,88.01863604306124,222.16693698262344,0.6593089068767836,1126.5548985434928,0.06057867158347968,0.036409672821627326,157.62816035223202,22.56456007584174,60.11076225408696,0.2566275403671208
7,3186.9491728194266,8.975815741867713,13.372950717692886,82.40084024545106,231.83290494699162,0.6438507567403238,1294.1225177518588,0.06989784733108423,0.08834848146489654,191.84291465586486,59.46099689274332,102.96297862941414,0.2278742665360431
8,3037.395446594424,6.245625945188191,7.36152894876917,68.66507373397344,213.92445363214165,0.3235035725576606,1420.9646655492904,0.038682439292424445,0.14967703202916485,9.120574863002894,92.96741271894861,136.1941584811516,0.313772434211065
9,3181.599802242055,9.750906790137575,13.29112937826043,71.59469580190958,151.89492232016283,0.6639382573836234,1560.6929867205813,0.04149116420986507,0.0565402994931162,219.4118131865068,26.388366416014126,31.452414525690777,0.21414613513345643
10,2716.6253278140607,4.9356603672894535,10.969697282077215,64.09282495373199,240.303318688937,0.5734018747547605,1227.5254013377148,0.022699447495507404,0.0357853607530084,74.9042125362599,96.41636260447235,36.21845282072772,0.23833595445605235
11,2286.9062728100876,3.1174690682050947,8.860227415313254,76.318740187358,234.53501714873477,0.6946849096013655,699.5193479667444,0.021192814615155244,0.045564197990422335,150.5049764211896,73.16270828189943,26.218264148184673,0.32713693979027214
12,2745.5690982069914,4.282182763928179,5.184113866548205,76.76210357702494,231.5549605433646,0.6639994389856849,378.16029756179023,0.06383085916649704,0.049060818711736974,268.20772256908674,36.169171378463645,75.88536906209823,0.24512834586191237
