cycles,gpp,c_fol,f_fol,f_lab,share,c_lf,lma,lai,input_fol_only,litterfall,implied_c_fol
4,1765.8891410820663,694.3386008389002,0.09378286375851387,0.0667785603449778,0.16056142410349167,0.29754618158836726,179.35795555232792,3.871245068002161,165.6101407307385,283.53367530102827,952.9064489668893
5,1075.3495622887199,499.9721165512183,0.16001588441620265,0.022222541678608626,0.18223842609481128,0.2931353585733114,178.36754153289365,2.8030442773076842,172.07301126620592,195.97001173324054,668.5307862109361
5,2100.2147278728553,1661.141748090667,0.17965445213461312,0.052609424955411994,0.2322638770900251,0.2582351781038064,235.74307176219156,7.046407496405079,377.3129263010434,487.8040154173214,1888.991341145752
4,2676.906612553315,2316.9371864006407,0.12043561186048708,0.12172805809524526,0.24216366995573235,0.2415355984307292,179.33328955657765,12.919727241548607,322.39488577624235,648.2495294246785,2683.8674449497025
11,714.764209223796,388.50601474862276,0.09054763050410154,0.08053251925926176,0.1710801497633633,0.2781660832166019,181.30278937995266,2.142857349725814,64.72020551435261,122.28196795949896,439.60056720603365
3,2559.5546705971474,1647.1476036038741,0.13001618497301115,0.10808734900405652,0.23810353397706768,0.31030843855785967,185.7049552288156,8.8697019504641,332.7835335008933,609.4390124766902,1963.9782124811766
4,2489.5402409773806,1851.2302321265715,0.11832282345866324,0.1378203360992206,0.2561431595578838,0.2583204171763638,189.27506341797496,9.780634589135026,294.56943042640455,637.6787031704417,2468.557112677151
8,985.2454881967417,497.10327089839404,0.07866618490830729,0.07462716770988741,0.1532933526181947,0.23007662732239134,187.44708314214893,2.651965891202585,77.50550375456037,151.0315840376285,656.4403598719214
6,1437.2774912633854,715.1769090508564,0.07129192928436942,0.12513763737312023,0.19642956665748965,0.3157899452711368,208.1263948892101,3.4362624184768085,102.46628526916516,282.32379477543066,894.0240150237457
5,2509.7956661608105,2642.0078440429684,0.11905428651988162,0.1454015787240247,0.2644558652439063,0.2343232067389299,205.94651577486172,12.828611516454009,298.8019323454663,663.7301844799633,2832.5414017547787
5,1933.2629836709632,1331.908699992638,0.10050808154538872,0.08222256214955606,0.1827306436949448,0.2378196052280502,224.60597009372526,5.929979062608394,194.30855361148267,353.26638943780466,1485.4384654244552
4,2946.0104755999723,3475.127136214058,0.13539441926954315,0.16804050640332807,0.3034349256728712,0.2188825402345061,183.36099333111767,18.952379527845327,398.8733775058489,893.9224696951776,4084.028213202607
5,1506.7170425756137,1032.1870406623989,0.117368805658688,0.13394240312433742,0.25131120878302543,0.27408996132263913,238.19824405836465,4.33331087197052,176.84157975269034,378.6548812636627,1381.4985395176045
5,1491.3839795778658,748.1339668399945,0.07097434904656229,0.11173736464182438,0.18271171368838668,0.2685730090129799,198.49527459040155,3.769026584556141,105.85000712901058,272.49332267607775,1014.5968266785452
5,1408.170065768495,399.0081873664373,0.0815565804057986,0.03519033848719899,0.1167469188929976,0.323688100371809,146.32793979316367,2.7268079351792984,114.84553519388697,164.39951645582158,507.8948415681074
4,1565.4663939227346,619.1340073268802,0.039669801097177014,0.1255023011838178,0.16517210228099483,0.2963679138109241,174.2626965227565,3.5528774642026106,62.10174047122984,258.57137533446604,872.4675084072314
