draw,f_auto,theta_roo,theta_woo,theta_min,temperature_exponent,d_onset,cr_onset,d_fall,cr_fall,c_lf,lma,ceff,c_lab_0,c_fol_0,c_roo_0,c_woo_0,rh_annual,f_som,theta_lit,theta_som,rh_ref,c_lit_0,c_som_0,f_lab,f_fol,f_roo,f_woo,failure_reason
10,0.5734018747547605,0.003086371921604577,0.0002229577121506962,0.00967625077808686,0.07955469854344428,180.69097092707239,22.046566723541485,129.20298282968773,72.79228765804689,0.8380878200709312,10.563262835018817,32.927150024322174,1425.6754633452388,623.1584459838558,530.4449671736622,91833.73049766594,349.14339176266293,0.6996983562972173,0.0011273040820324143,0.00011177559353493392,0.5242814560435726,139.6629228281691,3281.922836904007,0.17251560524976348,0.0009026115416773364,0.19745589601096883,0.0557240124428299,|NEE| >30
128,0.6887222165305507,0.0042269888661133495,0.0006247302973819256,0.0036642046352918884,0.07590038861146425,144.71224684749814,37.4651060327542,237.5999047639432,105.20258706398099,0.8461488370052488,251.14367384461343,76.48858633859001,214.33748028207836,1378.8590239945995,1830.5782868013177,87603.5999817762,303.46839961550575,0.6942706318135898,0.0016578997024243108,7.085950420570005e-05,0.47319585041283757,87.26092909215213,4636.300884691521,0.0020230721722035066,0.016922462227298873,0.11891269053704409,0.17341955853290283,|NEE| >30
206,0.6538910433829971,0.002737437215721871,0.0005578630028926656,0.003092357807064067,0.07125993295155346,204.4272641766825,29.86812895140079,149.09739923941936,23.934336528072578,0.422593145218306,352.72615943646406,93.33989894510533,421.845664459531,1183.7962259836902,377.32317172325963,98682.85466397471,316.76329906919625,0.8357065312223632,0.0018769350080015557,9.868392022192014e-05,0.5174963443239132,45.29792940419787,4382.42698367315,0.2264775446882837,0.07513817426727855,0.03900125659106715,0.005491981070373554,|NEE| >30
295,0.3624899536430017,0.004612357246206571,0.00011521567406387954,0.007289874796513252,0.07944120666041554,26.0384574207195,85.31782425859039,290.66798069769806,75.99228802691502,0.33267735143073845,187.6629945337254,85.65136223367074,1676.7160826518682,33.3508752806114,361.3374511719318,64060.72626135108,304.70039372938436,0.5289595955468062,0.0022400695252614757,6.761752921556379e-05,0.4580865328675061,96.32614670354234,3583.5273776206172,0.05827710648907017,0.4685739347762607,0.10664843433015476,0.004010570761512565,pool growth >100x
298,0.6061590637591228,0.009271229512791237,0.000956829498743065,0.007975339169026664,0.07534526515693163,324.1293367227564,45.40728640367638,247.57906212286807,134.59816450481674,0.8084539102220801,303.1840105384102,13.339053150695017,1947.2617409325399,825.6139472519161,1229.6943959618588,80791.61559763507,323.30212146544693,0.5261587463427417,0.0015305311710283435,8.04412255785251e-05,0.506978838939299,156.95693963507648,3316.1025133586886,0.0006948234287763882,0.35190766335000284,0.031027887859881483,0.010210561602216502,|NEE| >30
547,0.6078445223682478,0.00467362056981068,0.0006186360367102877,0.009924559344057803,0.07026886090390277,41.87259750783942,74.50914538980676,217.38609493867105,35.8317486553608,0.4907455964417398,370.61286674948025,89.69401429256088,1425.0765945764806,69.13668569220346,1739.2002450183795,91925.80568619129,313.4369134403216,0.7905835356116112,0.002335566084453449,9.237948895247011e-05,0.5170908828345073,46.364496030097854,4425.26304290519,0.15378664815455034,0.025348020067132205,0.01072760504948622,0.20229320436058346,|NEE| >30
613,0.4191003647060209,0.0002942880638910705,0.0004960850188370607,0.0018739552603797055,0.07412891915520876,89.12915534279134,15.389960371964197,11.558563642053935,26.28069889426841,0.5008529257484735,147.16402527790737,84.0091471081539,574.7732601810121,473.50241193647065,1154.6795449728907,83430.83125719344,362.178881128688,0.6816995465832769,0.0027129504681777756,0.00010660906540347541,0.5749774611757296,67.45998083760011,3676.6279968375065,0.10795767185359438,0.31494843758092594,0.07274132599238961,0.0852521998670691,|NEE| >30
616,0.681962778830658,0.004269332831112894,0.0008361807086496378,0.009116800224919612,0.07481437578152768,65.22654241318102,18.457521019581037,281.7546007465502,135.48009950921033,0.47210891514815045,109.09441586265395,28.20644502537117,1096.5359813208438,915.3118886634807,1270.8451716822938,97562.21469034873,301.7166885147885,0.617271250149009,0.0007683712352329171,9.27881733608302e-05,0.4756847589323124,236.940458936033,3164.4822307379377,0.06461604178652693,0.08928454406824587,0.14807689966856138,0.016059735646007788,|NEE| >30
700,0.38261637357644795,0.00594061011554305,0.0009669228788949978,0.0020736198949929275,0.07719498244741581,30.5938387626458,38.85640017375004,71.4370872506617,136.57693536997994,0.4249592869807967,133.56324765710872,71.44215080110864,1891.5998239993085,313.1823480343367,1309.6806713241547,89230.1511056992,356.21616819818803,0.7890549463425622,0.0020309259685054554,5.8581535998269064e-05,0.5481320099648566,56.932521444139134,7382.97940368515,0.021519335185328486,0.3450087515425389,0.19953899047591628,0.05131654921976841,|NEE| >30
715,0.6702073844382587,0.00576148600347719,0.000997434291471078,0.00718503479234945,0.06900610142584157,152.2847973754233,40.343605202922134,221.75577213804138,98.58674812581063,0.6513459415720292,214.45996502166085,18.71666928554884,1009.3178855209226,983.7160939365992,1720.1616555965932,80487.01824775837,349.9315037389938,0.6576249267231602,0.0023603833040728188,9.330001146941078e-05,0.5844758501357458,84.77858730549457,4119.676750982976,0.02315639302034615,0.15475418918861272,0.15086412194181872,0.001017911410963771,|NEE| >30
